topic_id,specialty,sample_id,prompt_id,prompt,abstract,model,backend,temperature,top_p,timestamp,error
T01,internal_medicine,0,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea is a frequent complication of systemic antibacterial therapy, often resulting in treatment discontinuation, extended hospital stays, and increased healthcare costs. While probiotics have been proposed to mitigate antibiotic-induced gut dysbiosis, definitive clinical evidence regarding their prophylactic efficacy in general adult populations remains inconsistently established. To address this, a multicentre, randomized, double-blind, placebo-controlled trial was conducted to evaluate the efficacy of multi-strain probiotic co-administration in preventing antibiotic-associated diarrhoea. Adult patients aged 18 years and older who were prescribed broad-spectrum systemic antibiotics for a duration of five to fourteen days were randomly assigned in a 1:1 ratio to receive either a daily high-dose probiotic formulation or a visually identical placebo. The intervention commenced within twenty-four hours of antibiotic initiation and continued for seven days following the completion of the antibiotic course. The primary clinical outcome was the incidence of antibiotic-associated diarrhoea, defined a priori as three or more unformed stools per day for at least two consecutive days within thirty days of antibiotic cessation. A total of 842 participants were randomized and included in the intention-to-treat analysis, with 421 allocated to each group. Baseline demographic and clinical characteristics were well balanced between the cohorts. The incidence of antibiotic-associated diarrhoea was significantly reduced in the probiotic group, occurring in 36 of 421 patients (8.6%), compared to 64 of 421 patients (15.2%) in the placebo group. This represented a relative risk of 0.56 (95% confidence interval, 0.38 to 0.83; p = 0.004). The incidence of adverse events was low and did not differ significantly between the two treatment groups. In conclusion, the concurrent administration of a multi-strain probiotic with systemic antibiotics is a safe and effective strategy for reducing the incidence of antibiotic-associated diarrhoea in adult patients.",gemini-3-pro-preview,gemini,0.7,1.0,1777899751.977526,
T01,internal_medicine,2,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea is a frequent complication of systemic antimicrobial therapy, often leading to prolonged hospitalization and increased healthcare costs. While restoring intestinal microbiota through probiotic supplementation is a proposed preventive strategy, robust evidence in diverse adult populations remains necessary. This study evaluated the efficacy and safety of a multi-strain probiotic formulation in preventing antibiotic-associated diarrhoea among adults receiving systemic antibiotics. A multi-centre, randomized, double-blind, placebo-controlled trial was conducted involving hospitalized adults prescribed a minimum of five days of broad-spectrum systemic antibiotics. Participants were randomly assigned in a 1:1 ratio to receive either a daily oral probiotic capsule, containing a blend of *Lactobacillus* and *Bifidobacterium* species, or an identical placebo. The intervention commenced within twenty-four hours of antibiotic initiation and continued for seven days post-therapy. The primary outcome was the incidence of antibiotic-associated diarrhoea, defined as three or more loose stools per day for at least two consecutive days within thirty days of randomization. A total of 842 participants were randomized, with 421 allocated per group. In the intention-to-treat analysis, antibiotic-associated diarrhoea occurred in 38 of 421 participants (9.0%) receiving the probiotic intervention, compared to 74 of 421 participants (17.6%) in the placebo group. Co-administration of the probiotic significantly reduced the risk of developing antibiotic-associated diarrhoea, yielding a relative risk of 0.51 (95% confidence interval, 0.36 to 0.73; p < 0.001). The incidence of adverse events was comparable between the cohorts, with no serious adverse events attributed to the intervention. The concurrent administration of a multi-strain probiotic formulation significantly reduces the incidence of antibiotic-associated diarrhoea in adult patients receiving systemic antibiotics. These findings support the use of probiotic prophylaxis as a safe, effective adjunctive therapy to mitigate gastrointestinal complications associated with broad-spectrum antimicrobial treatments.",gemini-3-pro-preview,gemini,0.7,1.0,1777899758.587219,
T01,internal_medicine,1,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea is a frequent and burdensome complication of systemic antibiotic therapy, often leading to prolonged hospital stays and increased healthcare costs. While probiotics have been proposed to restore intestinal dysbiosis, their prophylactic efficacy in adult populations remains controversial due to conflicting clinical trial outcomes. To evaluate the efficacy of probiotic co-administration in preventing antibiotic-associated diarrhoea, a multicentre, randomized, double-blind, placebo-controlled trial was conducted. The study enrolled hospitalized adults requiring broad-spectrum systemic antibiotics for a minimum of five days. Participants were randomly assigned in a 1:1 ratio to receive either a daily multi-strain probiotic formulation or a matching placebo, administered throughout the antibiotic course and for seven days thereafter. The primary endpoint was the incidence of antibiotic-associated diarrhoea, defined as three or more loose stools per day for at least two consecutive days within thirty days of initiating antibiotic therapy. A total of 640 participants were randomized, with 318 in the probiotic group and 322 in the placebo group completing the follow-up. The overall incidence of antibiotic-associated diarrhoea was significantly lower in the probiotic cohort compared to the placebo cohort (12.3% versus 20.8%). Probiotic co-administration resulted in a 41% relative reduction in the risk of developing the condition (relative risk 0.59; 95% confidence interval 0.41 to 0.84; p = 0.004). The absolute risk reduction was 8.5%, corresponding to a number needed to treat of 12. Adverse events were mild, predominantly gastrointestinal, and distributed equally between the two groups. Co-administration of a multi-strain probiotic with systemic antibiotics is a safe and highly effective strategy for the prevention of antibiotic-associated diarrhoea in hospitalized adults. These findings support the integration of prophylactic probiotics into routine clinical care for patients undergoing broad-spectrum antibiotic therapy to mitigate gastrointestinal complications.",gemini-3-pro-preview,gemini,0.7,1.0,1777899760.7565582,
T01,internal_medicine,3,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea is a frequent complication of systemic antimicrobial therapy, resulting from the disruption of the intestinal microbiota. While probiotic supplementation is proposed to restore microbial homeostasis, evidence regarding its efficacy in diverse adult populations requires further primary validation. This randomized, double-blind, placebo-controlled trial evaluated the efficacy of a multi-strain probiotic formulation in preventing antibiotic-associated diarrhoea among adults receiving systemic antibiotics. Adult inpatients initiating broad-spectrum systemic antibiotics for five to fourteen days were randomized 1:1 to receive a daily oral probiotic capsule (Lactobacillus and Bifidobacterium strains) or a visually identical placebo. The intervention was co-administered within twenty-four hours of antibiotic initiation and continued for seven days post-therapy. The primary endpoint was the incidence of antibiotic-associated diarrhoea, defined as three or more unformed stools daily for at least two consecutive days within thirty days of commencing treatment. A total of 640 participants were randomly assigned to the probiotic (n=320) or placebo (n=320) groups. The incidence of antibiotic-associated diarrhoea was significantly lower in the probiotic cohort compared to the placebo cohort, occurring in 28 patients (8.8%) receiving the intervention versus 56 patients (17.5%) receiving the placebo. Co-administration of the probiotic resulted in a significant reduction in the risk of developing the condition (relative risk 0.50, 95% confidence interval 0.33 to 0.77; p=0.002). Adverse event rates were comparable between groups, with no serious adverse events attributed to the probiotic. The prophylactic co-administration of a multi-strain probiotic significantly reduces the incidence of antibiotic-associated diarrhoea in adults undergoing systemic antimicrobial therapy. These findings support the integration of probiotic supplementation as a safe adjunctive measure to mitigate gastrointestinal complications associated with broad-spectrum antibiotic use.",gemini-3-pro-preview,gemini,0.7,1.0,1777899777.091116,
T01,internal_medicine,4,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea (AAD) is a common complication of systemic antibiotic therapy, often leading to prolonged hospital stays and early discontinuation of antimicrobial treatments. While probiotics have been proposed to restore intestinal dysbiosis and prevent AAD, evidence regarding their prophylactic efficacy in adult populations requires robust evaluation. To investigate the efficacy of probiotic co-administration in preventing AAD, a multicentre, randomized, double-blind, placebo-controlled trial was conducted. Adult patients prescribed a broad-spectrum systemic antibiotic course of five to fourteen days were randomly assigned in a 1:1 ratio to receive either a multi-strain probiotic formulation or an identical placebo daily. Treatment commenced within 48 hours of antibiotic initiation and continued for seven days post-cessation. The primary outcome was the incidence of AAD, defined as three or more unformed stools per day for at least two consecutive days within 30 days of randomization. A total of 842 participants were randomized, with 420 assigned to the probiotic group and 422 to the placebo group. Baseline clinical characteristics were well-balanced between cohorts. The incidence of AAD was significantly lower in the probiotic group compared to the placebo group. Specifically, 36 of 420 participants (8.6%) in the probiotic arm developed AAD, compared to 74 of 422 participants (17.5%) in the placebo arm. Co-administration of the probiotic resulted in a relative risk of 0.49 (95% confidence interval [CI], 0.34 to 0.71; p < 0.001), representing an absolute risk reduction of 8.9%. No significant differences were observed in the rates of severe adverse events between the two groups. Co-administration of a multi-strain probiotic alongside systemic antibiotics significantly reduces the risk of antibiotic-associated diarrhoea in adult patients. These findings support the use of prophylactic probiotics as a safe, effective adjunctive strategy to mitigate the gastrointestinal side effects of broad-spectrum antimicrobial therapy.",gemini-3-pro-preview,gemini,0.7,1.0,1777899792.552489,
T01,internal_medicine,5,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea is a common adverse effect of systemic antibiotic therapy, leading to increased morbidity and extended hospital stays. While probiotics are frequently suggested to restore gut microbiota, definitive primary evidence in diverse adult populations remains equivocal. This study aimed to evaluate the efficacy of a multi-strain probiotic formulation in preventing antibiotic-associated diarrhoea among adults receiving systemic antibiotics. A multi-centre, randomized, double-blind, placebo-controlled trial was conducted involving hospitalized adults prescribed systemic antibiotics for a minimum of five days. Participants were randomly assigned in a 1:1 ratio to receive either a daily oral probiotic capsule, containing prevalent Lactobacillus and Bifidobacterium strains, or a visually identical placebo. The intervention was initiated within 48 hours of antibiotic commencement and continued for seven days post-antibiotic therapy. The primary outcome was the incidence of antibiotic-associated diarrhoea, defined as three or more loose stools per day for at least two consecutive days within 30 days of randomization. A total of 840 participants were randomized, with 418 in the probiotic group and 422 in the placebo group completing the follow-up. The incidence of antibiotic-associated diarrhoea was significantly lower in the probiotic cohort. Specifically, the condition occurred in 35 participants (8.4%) receiving the probiotic intervention, compared to 72 participants (17.1%) receiving the placebo. Probiotic co-administration demonstrated a statistically significant reduction in the risk of developing antibiotic-associated diarrhoea (relative risk 0.49; 95% confidence interval 0.33 to 0.72; p < 0.001). Adverse events were generally mild and comparable between groups. The co-administration of a multi-strain probiotic with systemic antibiotics significantly reduces the incidence of antibiotic-associated diarrhoea in hospitalized adults. These findings support the prophylactic use of probiotics as a safe adjunctive therapy to mitigate the gastrointestinal side effects of systemic antimicrobial regimens.",gemini-3-pro-preview,gemini,0.7,1.0,1777899799.002756,
T01,internal_medicine,6,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea is a frequent and burdensome complication of systemic antimicrobial therapy, leading to increased healthcare costs, prolonged hospital stays, and elevated morbidity. Although probiotic co-administration has been proposed to mitigate this risk by preserving intestinal microbiome integrity, definitive clinical evidence in diverse adult populations remains equivocal. This study evaluated the efficacy of a multi-strain probiotic formulation in preventing antibiotic-associated diarrhoea among adults requiring systemic antibiotics. We conducted a randomized, double-blind, placebo-controlled trial across multiple acute care facilities. Eligible participants were adults aged 18 years and older who were prescribed a new course of systemic antibiotics for a suspected or confirmed bacterial infection. Participants were randomly assigned (1:1) to receive a daily oral probiotic capsule or a visually identical placebo, commencing within 48 hours of antibiotic initiation and continuing for seven days post-therapy. The primary outcome was the incidence of antibiotic-associated diarrhoea, defined as three or more unformed stools daily for at least two consecutive days, occurring up to 30 days post-treatment. In total, 840 participants were randomized evenly between the two cohorts, and baseline demographic and clinical characteristics were well-balanced. The incidence of antibiotic-associated diarrhoea was significantly lower in the probiotic group (8.1%, n=34) compared to the placebo group (16.9%, n=71), yielding a relative risk of 0.48 (95% confidence interval: 0.33 to 0.70; p < 0.001). The absolute risk reduction was 8.8%, translating to a number needed to treat of 11. Adverse events were generally mild and occurred at similar frequencies across both study arms. Co-administration of a multi-strain probiotic with systemic antibiotics is a safe and highly effective strategy for reducing the incidence of antibiotic-associated diarrhoea in adult patients. Routine probiotic prophylaxis should be considered alongside systemic antimicrobial regimens to improve patient outcomes and minimize gastrointestinal complications.",gemini-3-pro-preview,gemini,0.7,1.0,1777899810.17345,
T01,internal_medicine,7,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea is a frequent complication of systemic antibiotic therapy, leading to prolonged hospitalisation and premature discontinuation of antimicrobial treatments. While probiotics have been proposed to restore intestinal dysbiosis, robust clinical evidence in diverse adult populations remains inconclusive. To address this, a multicentre, randomised, double-blind, placebo-controlled trial was conducted to evaluate the efficacy of probiotic co-administration in preventing antibiotic-associated diarrhoea. Adult patients prescribed systemic antibiotics for a minimum of five days were randomly assigned in a 1:1 ratio to receive either a daily multi-strain probiotic formulation or a visually identical placebo. The intervention commenced within 24 hours of antibiotic initiation and continued for seven days following the cessation of antimicrobial therapy. The primary outcome was the incidence of antibiotic-associated diarrhoea, defined as three or more unformed stools per day for at least two consecutive days, occurring up to 30 days post-randomisation. A total of 842 participants were enrolled and included in the intention-to-treat analysis, with 421 allocated to each group. The overall incidence of antibiotic-associated diarrhoea was significantly lower in the probiotic cohort compared to those receiving placebo. Specifically, 38 patients (9.0%) in the intervention group developed the condition, contrasted with 72 patients (17.1%) in the control group. Probiotic co-administration resulted in a clinically meaningful reduction in the risk of antibiotic-associated diarrhoea (relative risk 0.53, 95% confidence interval 0.36 to 0.77, p=0.001). Adverse events were generally mild and occurred at similar frequencies across both arms. The concurrent administration of a multi-strain probiotic with systemic antibiotics is a safe and effective strategy for reducing the incidence of antibiotic-associated diarrhoea in adult patients. These findings support the routine use of prophylactic probiotics alongside systemic antimicrobial therapy to mitigate gastrointestinal complications.",gemini-3-pro-preview,gemini,0.7,1.0,1777899827.914016,
T01,internal_medicine,9,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea is a frequent complication of systemic antibiotic therapy, driving increased morbidity and healthcare costs. Although probiotics are frequently proposed as a preventive strategy, robust clinical evidence in diverse adult populations remains incomplete. To evaluate the efficacy of probiotic co-administration in preventing this condition, a randomized, double-blind, placebo-controlled trial was conducted. Adults prescribed broad-spectrum systemic antibiotics were randomized in a 1:1 ratio to receive either a daily multi-strain probiotic formulation or a matching placebo for the duration of their antibiotic course and seven days thereafter. The primary outcome was the incidence of antibiotic-associated diarrhoea, defined as three or more loose or watery stools per day for at least two consecutive days within four weeks post-treatment. A total of 450 participants completed the study, evenly divided between the intervention and placebo groups. Baseline demographic and clinical characteristics were well-matched across the cohorts. The incidence of antibiotic-associated diarrhoea was significantly lower in the probiotic group compared to the placebo group. Specifically, 18 participants (8.0%) in the probiotic arm developed the condition, compared to 41 participants (18.2%) in the placebo arm. This represents a relative risk of 0.44 (95% confidence interval, 0.26 to 0.74; p = 0.002). Additionally, the median duration of diarrhoeal episodes was significantly reduced among symptomatic patients in the intervention group. No serious adverse events attributable to the study product were reported, demonstrating comparable safety profiles between both groups. The co-administration of a multi-strain probiotic alongside systemic antibiotics significantly reduces the incidence of antibiotic-associated diarrhoea in adult patients. These findings support the prophylactic use of probiotics to mitigate gastrointestinal complications linked to broad-spectrum antibiotic therapy, presenting a safe and easily implementable adjunctive intervention.",gemini-3-pro-preview,gemini,0.7,1.0,1777899840.2660701,
T01,internal_medicine,8,primary,"You are an experienced clinical researcher writing the abstract of a primary study.

Topic: Probiotics for prevention of antibiotic-associated diarrhoea
PICO:
  Population: adults receiving systemic antibiotics
  Intervention: probiotic co-administration
  Comparator: no probiotic / placebo
  Outcome: antibiotic-associated diarrhoea

Write a 250–300 word abstract addressing this question. Use the conventional sections (Background, Methods, Results, Conclusion) as continuous prose without headings. Include an effect estimate with 95% confidence interval in the Results. Use formal academic register. Do not invent specific trial names, authors, or DOIs. Output only the abstract text, no preamble.
","Antibiotic-associated diarrhoea (AAD) is a frequent complication of systemic antibiotic therapy, often leading to prolonged hospital stays and premature treatment discontinuation. While probiotics are proposed to restore intestinal dysbiosis, evidence regarding their prophylactic efficacy in adults remains equivocal. A multicentre, randomized, double-blind, placebo-controlled trial was conducted to evaluate the efficacy of probiotic co-administration in preventing AAD among adults receiving systemic antibiotics. Adult patients prescribed a minimum five-day course of systemic broad-spectrum antibiotics were randomized in a 1:1 ratio to receive either a daily multi-strain probiotic formulation or a visually identical placebo. The intervention commenced within 48 hours of antibiotic initiation and continued for seven days post-cessation. The primary outcome was the incidence of AAD, defined as three or more unformed stools per day for at least two consecutive days within the 30-day follow-up. A total of 842 participants were randomized, with 421 allocated to the probiotic group and 421 to the placebo. Baseline demographics and antibiotic indications were well balanced between the cohorts. The incidence of AAD was significantly lower in the probiotic group compared to the placebo group. Specifically, AAD occurred in 36 of 421 participants (8.5%) receiving the probiotic and 72 of 421 participants (17.1%) receiving the placebo. The relative risk of developing AAD was significantly reduced by the probiotic intervention (relative risk 0.50; 95% confidence interval, 0.34 to 0.73; p < 0.001). No significant differences were observed between groups concerning the incidence of adverse events, which were predominantly mild. Co-administration of a multi-strain probiotic formulation represents a safe and effective clinical strategy for the prevention of AAD in adult patients receiving systemic antibiotics. Routine prophylactic use of probiotics should be considered to mitigate the gastrointestinal sequelae of antimicrobial therapy.",gemini-3-pro-preview,gemini,0.7,1.0,1777899844.57155,
