direction,v1,v2,v3,v4,v5,v6,v7,v8,rater_model,topic_id,sample_id,source,,error,2,pmid
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T01,1.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,0.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,2.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,3.0,ai,,,,
SUPPORTS,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,4.0,ai,,,,
SUPPORTS,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,5.0,ai,,,,
SUPPORTS,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,6.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,7.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,8.0,ai,,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,deepseek/deepseek-chat-v3.1,T01,9.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,10.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,11.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,12.0,ai,,,,
,,,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,13.0,ai,1.0,,,
SUPPORTS,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,deepseek/deepseek-chat-v3.1,T01,14.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T01,15.0,ai,,,,
SUPPORTS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anthropic/claude-sonnet-4.5,T01,16.0,ai,,,,
