model,scale,topic_id,truth_direction,n,p_supports,p_neutral,p_refutes,entropy_bits,truth_div_pct,mean_v_score,pct_valid_all_8
Gemini 3 Pro,frontier,T01,SUPPORTS,29,1.0,0.0,0.0,-0.0,0.0,8.0,96.66666666666669
Gemini 3 Pro,frontier,T02,REFUTES,29,0.0,0.0,1.0,-0.0,0.0,8.0,96.66666666666669
Gemini 3 Pro,frontier,T03,NEUTRAL,29,1.0,0.0,0.0,-0.0,100.0,7.9655172413793105,93.33333333333331
Gemini 3 Pro,frontier,T04,SUPPORTS,30,1.0,0.0,0.0,-0.0,0.0,8.0,100.0
Gemini 3 Pro,frontier,T05,REFUTES,30,0.1,0.0,0.9,0.4689955935892812,9.99999999999999,8.0,100.0
Gemini 3 Pro,frontier,T06,REFUTES,29,0.0,0.0,1.0,-0.0,0.0,7.933333333333334,96.66666666666669
Gemini 3 Pro,frontier,T07,SUPPORTS,28,1.0,0.0,0.0,-0.0,0.0,7.620689655172414,80.0
Gemini 3 Pro,frontier,T08,REFUTES,29,0.0,0.0,1.0,-0.0,0.0,7.275862068965517,26.666666666666668
Gemini 3 Pro,frontier,T09,REFUTES,29,0.0,0.0,1.0,-0.0,0.0,8.0,96.66666666666669
Gemini 3 Pro,frontier,T10,SUPPORTS,30,0.7,0.1666666666666666,0.1333333333333333,1.1786137171821591,30.0,7.933333333333334,96.66666666666669
Gemini 3 Pro,frontier,T11,REFUTES,30,0.0,0.0,1.0,-0.0,0.0,8.0,100.0
Gemini 3 Pro,frontier,T12,NEUTRAL,30,1.0,0.0,0.0,-0.0,100.0,7.8,90.0
Gemma3 12B,mid,T01,SUPPORTS,29,1.0,0.0,0.0,-0.0,0.0,7.862068965517241,90.0
Gemma3 12B,mid,T02,REFUTES,30,0.0333333333333333,0.0333333333333333,0.9333333333333332,0.420026001688088,6.66666666666666,7.933333333333334,96.66666666666669
Gemma3 12B,mid,T03,NEUTRAL,30,1.0,0.0,0.0,-0.0,100.0,7.966666666666667,96.66666666666669
Gemma3 12B,mid,T04,SUPPORTS,29,1.0,0.0,0.0,-0.0,0.0,8.0,96.66666666666669
Gemma3 12B,mid,T05,REFUTES,29,0.6206896551724138,0.0,0.3793103448275862,0.9575534837147482,62.06896551724138,8.0,96.66666666666669
Gemma3 12B,mid,T06,REFUTES,29,0.0,0.0,1.0,-0.0,0.0,8.0,96.66666666666669
Gemma3 12B,mid,T07,SUPPORTS,29,1.0,0.0,0.0,-0.0,0.0,7.586206896551724,56.666666666666664
Gemma3 12B,mid,T08,REFUTES,30,0.0,0.0666666666666666,0.9333333333333332,0.3533593350214213,6.66666666666666,7.766666666666667,76.66666666666667
Gemma3 12B,mid,T09,REFUTES,29,0.1379310344827586,0.0689655172413793,0.7931034482758621,0.9255008230823548,20.68965517241379,7.9655172413793105,93.33333333333331
Gemma3 12B,mid,T10,SUPPORTS,29,0.6551724137931034,0.2758620689655172,0.0689655172413793,1.1783043483886713,34.48275862068966,8.0,100.0
Gemma3 12B,mid,T11,REFUTES,28,0.0,0.0357142857142857,0.9642857142857144,0.222284830685688,3.57142857142857,7.862068965517241,93.33333333333331
Gemma3 12B,mid,T12,NEUTRAL,29,1.0,0.0,0.0,-0.0,100.0,7.9655172413793105,93.33333333333331
Llama 3.2 3B,small,T01,SUPPORTS,29,1.0,0.0,0.0,-0.0,0.0,7.0,60.0
Llama 3.2 3B,small,T02,REFUTES,28,0.25,0.0714285714285714,0.6785714285714286,1.1515653788493414,32.14285714285714,7.724137931034483,76.66666666666667
Llama 3.2 3B,small,T03,NEUTRAL,30,1.0,0.0,0.0,-0.0,100.0,6.966666666666667,43.333333333333336
Llama 3.2 3B,small,T04,SUPPORTS,30,0.9666666666666668,0.0333333333333333,0.0,0.2108423003185321,3.33333333333333,6.966666666666667,33.33333333333333
Llama 3.2 3B,small,T05,REFUTES,29,0.4827586206896552,0.0,0.5172413793103449,0.9991421039919088,48.27586206896551,6.413793103448276,36.666666666666664
Llama 3.2 3B,small,T06,REFUTES,30,0.1,0.0666666666666666,0.8333333333333334,0.8118475207241324,16.66666666666666,6.8,50.0
Llama 3.2 3B,small,T07,SUPPORTS,30,0.9333333333333332,0.0333333333333333,0.0333333333333333,0.420026001688088,6.66666666666666,6.866666666666666,36.666666666666664
Llama 3.2 3B,small,T08,REFUTES,30,0.0333333333333333,0.0,0.9666666666666668,0.2108423003185321,3.33333333333333,7.3,50.0
Llama 3.2 3B,small,T09,REFUTES,28,0.8214285714285714,0.0714285714285714,0.1071428571428571,0.8503259045049341,89.28571428571429,6.344827586206897,16.666666666666664
Llama 3.2 3B,small,T10,SUPPORTS,29,0.7931034482758621,0.0344827586206896,0.1724137931034483,0.869995979136258,20.68965517241379,7.0344827586206895,43.333333333333336
Llama 3.2 3B,small,T11,REFUTES,29,0.7931034482758621,0.0344827586206896,0.1724137931034483,0.869995979136258,82.75862068965517,6.448275862068965,30.0
Llama 3.2 3B,small,T12,NEUTRAL,28,1.0,0.0,0.0,-0.0,100.0,6.714285714285714,30.0
